"camera1_ray_s_x","camera1_ray_s_y","camera1_ray_s_z","camera1_ray_t_x","camera1_ray_t_y","camera1_ray_t_z","camera2_ray_s_x","camera2_ray_s_y","camera2_ray_s_z","camera2_ray_t_x","camera2_ray_t_y","camera2_ray_t_z","intersect_ray_s_x","intersect_ray_s_y","intersect_ray_s_z","intersect_ray_t_x","intersect_ray_t_y","intersect_ray_t_z"
0,0,0,-0.198152,0.65111,-0.732661,0.116276,0.00346323,0.00324302,0.751579,-0.219272,-0.622132,0.0075443,-0.0247899,0.0278948,0.0404417,0.0481766,0.0318765
0,0,0,-0.178271,0.653625,-0.735523,0.116276,0.00346323,0.00324302,0.75944,-0.216648,-0.613444,0.00657387,-0.0241029,0.0271229,0.0398419,0.0474954,0.0325503
0,0,0,-0.158308,0.655884,-0.738075,0.116276,0.00346323,0.00324302,0.766927,-0.214095,-0.604968,0.00565435,-0.0234264,0.0263621,0.0392453,0.0468151,0.0331842
0,0,0,-0.138086,0.657933,-0.740309,0.116276,0.00346323,0.00324302,0.774144,-0.211555,-0.596612,0.0047758,-0.022755,0.025604,0.0386444,0.0461279,0.033787
0,0,0,-0.117849,0.659652,-0.742274,0.116276,0.00346323,0.00324302,0.781041,-0.20909,-0.588435,0.00394739,-0.0220954,0.0248628,0.038043,0.0454454,0.0343469
0,0,0,-0.0974428,0.661116,-0.743929,0.116276,0.00346323,0.00324302,0.78765,-0.206669,-0.580428,0.00316071,-0.0214443,0.0241305,0.0374448,0.0447625,0.034875
0,0,0,-0.0769702,0.662341,-0.745238,0.116276,0.00346323,0.00324302,0.793979,-0.204303,-0.572589,0.00241746,-0.0208026,0.0234062,0.0368514,0.044081,0.0353715
0,0,0,-0.0563379,0.663256,-0.746269,0.116276,0.00346323,0.00324302,0.800077,-0.201972,-0.564875,0.00171321,-0.0201694,0.0226938,0.0362567,0.0434002,0.0358354
0,0,0,-0.0356921,0.663867,-0.746998,0.116276,0.00346323,0.00324302,0.805918,-0.19972,-0.557323,0.00105088,-0.0195463,0.0219939,0.0356675,0.0427252,0.0362662
0,0,0,-0.20075,0.638951,-0.742591,0.116276,0.00346323,0.00324302,0.748416,-0.236537,-0.619616,0.00759978,-0.0241887,0.0281122,0.0411664,0.0489884,0.0310225
0,0,0,-0.180689,0.641479,-0.745558,0.116276,0.00346323,0.00324302,0.756308,-0.233717,-0.611044,0.00662077,-0.0235049,0.0273185,0.040573,0.0483161,0.0317382
0,0,0,-0.160423,0.643775,-0.74821,0.116276,0.00346323,0.00324302,0.763883,-0.230916,-0.602627,0.00568869,-0.0228286,0.026532,0.0399746,0.0476376,0.0324174
0,0,0,-0.139983,0.645828,-0.75054,0.116276,0.00346323,0.00324302,0.771123,-0.228195,-0.594387,0.00480305,-0.0221594,0.0257522,0.0393794,0.0469569,0.033061
0,0,0,-0.119459,0.647578,-0.752577,0.116276,0.00346323,0.00324302,0.77807,-0.225503,-0.586306,0.00396637,-0.0215014,0.0249876,0.0387787,0.0462756,0.0336638
0,0,0,-0.0988068,0.649085,-0.754271,0.116276,0.00346323,0.00324302,0.784736,-0.222863,-0.578378,0.00317411,-0.0208515,0.0242305,0.0381792,0.0455926,0.0342332
0,0,0,-0.0780767,0.650312,-0.755645,0.116276,0.00346323,0.00324302,0.791124,-0.220279,-0.570613,0.00242662,-0.0202116,0.0234854,0.0375815,0.0449108,0.0347673
0,0,0,-0.0571731,0.651226,-0.756727,0.116276,0.00346323,0.00324302,0.797276,-0.217741,-0.562974,0.00171895,-0.0195796,0.0227515,0.0369829,0.0442288,0.0352684
0,0,0,-0.0362322,0.651892,-0.757445,0.116276,0.00346323,0.00324302,0.803162,-0.215255,-0.555514,0.0010537,-0.0189582,0.0220279,0.0363911,0.043549,0.0357395
0,0,0,-0.203406,0.626191,-0.752669,0.116276,0.00346323,0.00324302,0.745053,-0.253638,-0.616899,0.00767059,-0.0236141,0.0283836,0.0418799,0.0497927,0.0301077
0,0,0,-0.183066,0.628804,-0.755706,0.116276,0.00346323,0.00324302,0.753004,-0.250589,-0.608432,0.00667639,-0.0229323,0.0275604,0.0412946,0.0491265,0.0308735
0,0,0,-0.162561,0.63111,-0.758469,0.116276,0.00346323,0.00324302,0.760608,-0.247591,-0.600145,0.00573367,-0.0222598,0.0267519,0.0407038,0.0484567,0.0315961
0,0,0,-0.141917,0.633198,-0.760868,0.116276,0.00346323,0.00324302,0.767933,-0.244601,-0.591987,0.00484015,-0.0215955,0.0259497,0.0401041,0.0477792,0.0322818
0,0,0,-0.12108,0.634971,-0.762989,0.116276,0.00346323,0.00324302,0.774929,-0.241708,-0.584005,0.00399268,-0.0209385,0.0251599,0.0395073,0.0471012,0.0329289
0,0,0,-0.100137,0.636487,-0.764759,0.116276,0.00346323,0.00324302,0.781657,-0.238847,-0.576163,0.00319229,-0.0202907,0.0243799,0.0389065,0.0464199,0.0335395
0,0,0,-0.0791163,0.637746,-0.766172,0.116276,0.00346323,0.00324302,0.788083,-0.236092,-0.568494,0.00243778,-0.0196506,0.0236078,0.038313,0.0457396,0.0341165
0,0,0,-0.0579394,0.63868,-0.767288,0.116276,0.00346323,0.00324302,0.794291,-0.23336,-0.560932,0.00172538,-0.0190193,0.0228491,0.0377127,0.0450572,0.0346572
0,0,0,-0.0366957,0.639378,-0.768016,0.116276,0.00346323,0.00324302,0.800245,-0.230701,-0.553521,0.00105577,-0.0183955,0.0220966,0.0371184,0.0443746,0.0351686
0,0,0,-0.206113,0.61301,-0.762716,0.116276,0.00346323,0.00324302,0.741484,-0.270462,-0.614045,0.00775596,-0.0230674,0.0287008,0.0425853,0.0505808,0.0291448
0,0,0,-0.18552,0.615591,-0.765918,0.116276,0.00346323,0.00324302,0.749491,-0.267197,-0.605698,0.0067479,-0.0223908,0.0278586,0.0420052,0.0499263,0.0299528
0,0,0,-0.164762,0.61798,-0.768736,0.116276,0.00346323,0.00324302,0.757189,-0.263942,-0.597495,0.00579136,-0.0217219,0.0270209,0.0414158,0.0492612,0.0307241
0,0,0,-0.143811,0.620037,-0.77128,0.116276,0.00346323,0.00324302,0.764544,-0.260783,-0.589461,0.00488468,-0.0210601,0.0261972,0.0408248,0.0485934,0.0314524
0,0,0,-0.122718,0.621895,-0.773425,0.116276,0.00346323,0.00324302,0.771599,-0.257707,-0.581569,0.00402624,-0.0204037,0.0253753,0.0402345,0.0479194,0.0321471
0,0,0,-0.101444,0.623399,-0.775295,0.116276,0.00346323,0.00324302,0.778383,-0.254683,-0.573809,0.00321477,-0.0197556,0.0245692,0.0396375,0.0472427,0.0328005
0,0,0,-0.0801292,0.624707,-0.776737,0.116276,0.00346323,0.00324302,0.7849,-0.251682,-0.566204,0.00245218,-0.0191178,0.0237703,0.0390387,0.0465612,0.0334205
0,0,0,-0.0586445,0.625637,-0.777907,0.116276,0.00346323,0.00324302,0.791171,-0.248737,-0.55873,0.00173307,-0.0184889,0.0229888,0.0384361,0.0458795,0.0340013
0,0,0,-0.0371085,0.626383,-0.778632,0.116276,0.00346323,0.00324302,0.797197,-0.245857,-0.55139,0.00105848,-0.0178669,0.0222097,0.0378377,0.0451943,0.034554
0,0,0,-0.2088,0.599282,-0.772828,0.116276,0.00346323,0.00324302,0.737754,-0.286982,-0.611032,0.00785497,-0.0225447,0.0290734,0.0432719,0.0513506,0.0281283
0,0,0,-0.187956,0.601951,-0.776097,0.116276,0.00346323,0.00324302,0.745837,-0.2835,-0.602789,0.0068295,-0.0218723,0.0282,0.0427012,0.0507061,0.0289869
0,0,0,-0.166925,0.604306,-0.77907,0.116276,0.00346323,0.00324302,0.753565,-0.280065,-0.594729,0.00585844,-0.0212088,0.0273424,0.0421222,0.0500543,0.0298007
0,0,0,-0.145658,0.606445,-0.78167,0.116276,0.00346323,0.00324302,0.761002,-0.276728,-0.586769,0.00493503,-0.0205469,0.0264837,0.0415394,0.0493925,0.0305798
0,0,0,-0.12432,0.608303,-0.783908,0.116276,0.00346323,0.00324302,0.768132,-0.273447,-0.578965,0.00406589,-0.0198946,0.0256377,0.0409499,0.0487257,0.0313163
0,0,0,-0.102777,0.60984,-0.785832,0.116276,0.00346323,0.00324302,0.774992,-0.270171,-0.57131,0.0032446,-0.0192522,0.0248081,0.0403514,0.0480525,0.0320134
0,0,0,-0.0811451,0.611163,-0.787335,0.116276,0.00346323,0.00324302,0.781552,-0.26702,-0.563806,0.00247156,-0.0186151,0.023981,0.0397595,0.047376,0.0326775
0,0,0,-0.0593571,0.612132,-0.788525,0.116276,0.00346323,0.00324302,0.787895,-0.263883,-0.556406,0.00174418,-0.0179872,0.0231704,0.0391568,0.0466952,0.0333019
0,0,0,-0.0374911,0.612867,-0.789296,0.116276,0.00346323,0.00324302,0.793999,-0.260801,-0.549134,0.0010624,-0.017367,0.0223665,0.0385543,0.0460102,0.0338944
0,0,0,-0.211449,0.584996,-0.782987,0.116276,0.00346323,0.00324302,0.733845,-0.303275,-0.607862,0.00796611,-0.022039,0.0294981,0.0439459,0.0521019,0.0270593
0,0,0,-0.190351,0.587667,-0.786393,0.116276,0.00346323,0.00324302,0.741962,-0.299657,-0.599748,0.00692235,-0.0213713,0.0285982,0.0433923,0.0514744,0.0279631
0,0,0,-0.169048,0.590104,-0.78943,0.116276,0.00346323,0.00324302,0.749792,-0.295995,-0.591777,0.00593346,-0.0207122,0.0277085,0.0428192,0.0508317,0.0288277
0,0,0,-0.147564,0.592233,-0.79214,0.116276,0.00346323,0.00324302,0.757275,-0.292496,-0.583935,0.00499724,-0.0200559,0.0268257,0.0422455,0.0501831,0.029649
0,0,0,-0.125863,0.594088,-0.794492,0.116276,0.00346323,0.00324302,0.764487,-0.288962,-0.576248,0.00411209,-0.0194095,0.025957,0.0416574,0.0495229,0.0304319
0,0,0,-0.104064,0.595715,-0.796426,0.116276,0.00346323,0.00324302,0.771404,-0.285554,-0.568678,0.00327842,-0.0187674,0.0250906,0.0410696,0.0488565,0.0311777
0,0,0,-0.0821461,0.597016,-0.798012,0.116276,0.00346323,0.00324302,0.778046,-0.282189,-0.56126,0.00249531,-0.0181353,0.0242408,0.0404755,0.0481855,0.0318825
0,0,0,-0.0600311,0.598001,-0.799244,0.116276,0.00346323,0.00324302,0.784461,-0.278879,-0.553937,0.00175763,-0.0175086,0.0234007,0.0398747,0.047508,0.0325509
0,0,0,-0.0378359,0.598771,-0.800026,0.116276,0.00346323,0.00324302,0.79062,-0.275629,-0.546762,0.00106726,-0.0168899,0.0225669,0.0392761,0.0468251,0.0331882
